"stname","clock","crazy","day"
"dokripmoon",9,97,"week"
"dongdaeipgu",9,98,"week"
"maebong",9,59,"week"
"mooakjae",9,95,"week"
"boolkwang",9,72,"week"
"suseo",9,34,"week"
"sinsa",9,95,"week"
"ankook",9,103,"week"
"apgujeong",9,92,"week"
"yaksu",9,104,"week"
"yangjae",9,72,"week"
"yeonsinnae",9,61,"week"
"ogum",9,11,"week"
"oksu",9,108,"week"
"ilwon",9,38,"week"
"jamwon",9,106,"week"
"jichook",9,69,"week"
"choongmuro",9,199,"week"
"hakyeowool",9,45,"week"
"hongje",9,87,"week"
"killeum",9,90,"week"
"namtaeryeong",9,132,"week"
"nowon",9,31,"week"
"dangkokae",9,6,"week"
"dongjak",9,69,"week"
"myeongdong",9,77,"week"
"mia",9,75,"week"
"mia4keori",9,84,"week"
"samkakji",9,68,"week"
"sangkye",9,18,"week"
"sungsinyeodae",9,98,"week"
"sooyou",9,70,"week"
"sookmyeong",9,65,"week"
"sinyongsan",9,65,"week"
"ssangmoon",9,61,"week"
"ichon",9,65,"week"
"changdong",9,46,"week"
"chongsindae",9,67,"week"
"hanseongdae",9,103,"week"
"hyehwa",9,105,"week"
"hoihyeon",9,71,"week"
"kyodae",9,259,"week"
"dongdaemon",9,210,"week"
"dongyeoksa",9,155,"week"
"sadang",9,222,"week"
"seoulstation",9,147,"week"
"sichong",9,151,"week"
"sinsuldong",9,112,"week"
"eulji3ga",9,159,"week"
"jongro3ga",9,212,"week"
"dongmyo",10,87,"week"
"jegidong",10,77,"week"
"jongkak",10,71,"week"
"jongro5",10,85,"week"
"cheongryangri",10,72,"week"
"kangnam",10,104,"week"
"kangbyeon",10,59,"week"
"keondae",10,60,"week"
"gurodigital",10,86,"week"
"gooui",10,59,"week"
"kkachisan",10,21,"week"
"nakseongdae",10,99,"week"
"dangsan",10,92,"week"
"daerim",10,90,"week"
"dorimcheon",10,57,"week"
"ttooksum",10,59,"week"
"moonrae",10,92,"week"
"bangbae",10,106,"week"
"bongcheon",10,93,"week"
"samseong",10,68,"week"
"sangwangshipri",10,68,"week"
"seouldaeipgu",10,93,"week"
"seocho",10,109,"week"
"seonreung",10,84,"week"
"seongnae",10,58,"week"
"seongsu",10,62,"week"
"seongsuG",10,13,"week"
"sindap",10,28,"week"
"sindang",10,67,"week"
"sindaebang",10,87,"week"
"sindorim",10,83,"week"
"sindorimG",10,20,"week"
