routenum,ord,stationid,arsid,encode
5,2,남산도서관,3167,%EB%82%A8%EC%82%B0%EB%8F%84%EC%84%9C%EA%B4%80
5,3,백범광장,2215,%EB%B0%B1%EB%B2%94%EA%B4%91%EC%9E%A5
5,4,힐튼호텔,2285,%ED%9E%90%ED%8A%BC%ED%98%B8%ED%85%94
5,5,남대문시장악세사리전문상가,2124,%EB%82%A8%EB%8C%80%EB%AC%B8%EC%8B%9C%EC%9E%A5%EC%95%85%EC%84%B8%EC%82%AC%EB%A6%AC%EC%A0%84%EB%AC%B8%EC%83%81%EA%B0%80
5,6,남대문시장,2126,%EB%82%A8%EB%8C%80%EB%AC%B8%EC%8B%9C%EC%9E%A5
5,7,명동입구,2149,%EB%AA%85%EB%8F%99%EC%9E%85%EA%B5%AC
5,8,퇴계로3가.한옥마을.한국의집,2152,%ED%87%B4%EA%B3%84%EB%A1%9C3%EA%B0%80.%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84.%ED%95%9C%EA%B5%AD%EC%9D%98%EC%A7%91
5,9,대한극장앞,2153,%EB%8C%80%ED%95%9C%EA%B7%B9%EC%9E%A5%EC%95%9E
5,10,퇴계로5가,2207,%ED%87%B4%EA%B3%84%EB%A1%9C5%EA%B0%80
5,11,퇴계로6가,2205,%ED%87%B4%EA%B3%84%EB%A1%9C6%EA%B0%80
5,12,광희동사거리,2275,%EA%B4%91%ED%9D%AC%EB%8F%99%EC%82%AC%EA%B1%B0%EB%A6%AC
5,13,충무아트홀.중부소방서,2178,%EC%B6%A9%EB%AC%B4%EC%95%84%ED%8A%B8%ED%99%80.%EC%A4%91%EB%B6%80%EC%86%8C%EB%B0%A9%EC%84%9C
5,14,신당동떡볶이타운,2187,%EC%8B%A0%EB%8B%B9%EB%8F%99%EB%96%A1%EB%B3%B6%EC%9D%B4%ED%83%80%EC%9A%B4
5,15,신당동.청구역,2190,%EC%8B%A0%EB%8B%B9%EB%8F%99.%EC%B2%AD%EA%B5%AC%EC%97%AD
5,16,약수역,2191,%EC%95%BD%EC%88%98%EC%97%AD
5,17,동대입구역장충동,2222,%EB%8F%99%EB%8C%80%EC%9E%85%EA%B5%AC%EC%97%AD%EC%9E%A5%EC%B6%A9%EB%8F%99
5,18,국립극장,2210,%EA%B5%AD%EB%A6%BD%EA%B7%B9%EC%9E%A5
5,19,남산북측순환로입구,2254,%EB%82%A8%EC%82%B0%EB%B6%81%EC%B8%A1%EC%88%9C%ED%99%98%EB%A1%9C%EC%9E%85%EA%B5%AC
100,1,한성여객종점,11428,%ED%95%9C%EC%84%B1%EC%97%AC%EA%B0%9D%EC%A2%85%EC%A0%90
100,2,노원평생학습관,11387,%EB%85%B8%EC%9B%90%ED%8F%89%EC%83%9D%ED%95%99%EC%8A%B5%EA%B4%80
100,3,서울시립북서울미술관,11374,%EC%84%9C%EC%9A%B8%EC%8B%9C%EB%A6%BD%EB%B6%81%EC%84%9C%EC%9A%B8%EB%AF%B8%EC%88%A0%EA%B4%80
100,4,중계역,11373,%EC%A4%91%EA%B3%84%EC%97%AD
100,5,중계역2번출구,11376,%EC%A4%91%EA%B3%84%EC%97%AD2%EB%B2%88%EC%B6%9C%EA%B5%AC
100,6,중계시영3단지,11378,%EC%A4%91%EA%B3%84%EC%8B%9C%EC%98%813%EB%8B%A8%EC%A7%80
100,7,중계시영3단지상가,11380,%EC%A4%91%EA%B3%84%EC%8B%9C%EC%98%813%EB%8B%A8%EC%A7%80%EC%83%81%EA%B0%80
100,8,중계시영4단지,11381,%EC%A4%91%EA%B3%84%EC%8B%9C%EC%98%814%EB%8B%A8%EC%A7%80
100,9,노원경찰서,11438,%EB%85%B8%EC%9B%90%EA%B2%BD%EC%B0%B0%EC%84%9C
100,10,하계1동주민센터,11436,%ED%95%98%EA%B3%841%EB%8F%99%EC%A3%BC%EB%AF%BC%EC%84%BC%ED%84%B0
100,11,골마을근린공원,11434,%EA%B3%A8%EB%A7%88%EC%9D%84%EA%B7%BC%EB%A6%B0%EA%B3%B5%EC%9B%90
100,12,하계역,11426,%ED%95%98%EA%B3%84%EC%97%AD
100,13,하계우성아파트,11454,%ED%95%98%EA%B3%84%EC%9A%B0%EC%84%B1%EC%95%84%ED%8C%8C%ED%8A%B8
100,14,하계극동아파트,11452,%ED%95%98%EA%B3%84%EA%B7%B9%EB%8F%99%EC%95%84%ED%8C%8C%ED%8A%B8
100,15,월계헬스케어센터,11339,%EC%9B%94%EA%B3%84%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4%EC%84%BC%ED%84%B0
100,16,인덕대학,11311,%EC%9D%B8%EB%8D%95%EB%8C%80%ED%95%99
100,17,월계주공108동앞롯데캐슬루나아파트,11310,%EC%9B%94%EA%B3%84%EC%A3%BC%EA%B3%B5108%EB%8F%99%EC%95%9E%EB%A1%AF%EB%8D%B0%EC%BA%90%EC%8A%AC%EB%A3%A8%EB%82%98%EC%95%84%ED%8C%8C%ED%8A%B8
100,18,오현초등학교,9186,%EC%98%A4%ED%98%84%EC%B4%88%EB%93%B1%ED%95%99%EA%B5%90
100,19,꿈의숲주차장입구,9312,%EA%BF%88%EC%9D%98%EC%88%B2%EC%A3%BC%EC%B0%A8%EC%9E%A5%EC%9E%85%EA%B5%AC
100,20,북서울꿈의숲,9187,%EB%B6%81%EC%84%9C%EC%9A%B8%EA%BF%88%EC%9D%98%EC%88%B2
100,21,송중동한일유엔아이,9188,%EC%86%A1%EC%A4%91%EB%8F%99%ED%95%9C%EC%9D%BC%EC%9C%A0%EC%97%94%EC%95%84%EC%9D%B4
100,22,창문여고앞,9189,%EC%B0%BD%EB%AC%B8%EC%97%AC%EA%B3%A0%EC%95%9E
100,23,숭곡초등학교입구,9190,%EC%88%AD%EA%B3%A1%EC%B4%88%EB%93%B1%ED%95%99%EA%B5%90%EC%9E%85%EA%B5%AC
100,24,월곡뉴타운,8001,%EC%9B%94%EA%B3%A1%EB%89%B4%ED%83%80%EC%9A%B4
100,25,길음뉴타운,8003,%EA%B8%B8%EC%9D%8C%EB%89%B4%ED%83%80%EC%9A%B4
100,26,미아리고개(아리랑아트홀),8005,%EB%AF%B8%EC%95%84%EB%A6%AC%EA%B3%A0%EA%B0%9C%28%EC%95%84%EB%A6%AC%EB%9E%91%EC%95%84%ED%8A%B8%ED%99%80%29
100,27,돈암사거리.성신여대입구,8007,%EB%8F%88%EC%95%94%EC%82%AC%EA%B1%B0%EB%A6%AC.%EC%84%B1%EC%8B%A0%EC%97%AC%EB%8C%80%EC%9E%85%EA%B5%AC
100,28,삼선교.한성대학교,8009,%EC%82%BC%EC%84%A0%EA%B5%90.%ED%95%9C%EC%84%B1%EB%8C%80%ED%95%99%EA%B5%90
100,29,혜화동로터리,1005,%ED%98%9C%ED%99%94%EB%8F%99%EB%A1%9C%ED%84%B0%EB%A6%AC
